variable,code,label
RFV13D,1005,Chills
RFV13D,1010,Fever
RFV13D,1012,Other symptoms of body temperature
RFV13D,1015,"Tiredness, exhaustion"
RFV13D,1020,General weakness
RFV13D,1025,General ill feeling
RFV13D,1030,Fainting (syncope)
RFV13D,1035,Symptoms of fluid abnormalities
RFV13D,1040,Weight gain
RFV13D,1045,Weight loss
RFV13D,1046,"Symptoms of face, not elsewhere class..."
RFV13D,1050,Chest pain and related symptoms (not ...
RFV13D,1055,"Pain, site not referable to a specifi..."
RFV13D,1060,"Pain and related symptoms, general, s..."
RFV13D,1065,"Tumor or mass, site unspecified"
RFV13D,1066,"Lesion, internal, NOS (excludes brain and"
RFV13D,1070,"Bleeding, site unspecified"
RFV13D,1075,Symptoms of growth and developmental ...
RFV13D,1080,"General symptoms of infants, NEC"
RFV13D,1085,General or unspecified nonviral infec...
RFV13D,1090,"Allergy, NOS"
RFV13D,1095,Disorders of motor functions
RFV13D,1096,"Dyslexia, NOS"
RFV13D,1100,Anxiety and nervousness
RFV13D,1105,Fears and phobias
RFV13D,1110,Depression
RFV13D,1115,Anger
RFV13D,1120,Problems with identity and self-esteem
RFV13D,1123,Transgender
RFV13D,1125,Restlessness
RFV13D,1130,Behavioral disturbances
RFV13D,1135,Disturbances of sleep
RFV13D,1140,Smoking problems
RFV13D,1145,Alcohol-related problems
RFV13D,1150,Abnormal drug usage
RFV13D,1155,Delusions or hallucinations
RFV13D,1160,Psychosexual disorders
RFV13D,1165,Oth sympt/prob relat psychological an...
RFV13D,1200,Abnormal involuntary movements
RFV13D,1205,Convulsions
RFV13D,1207,"Symptoms of head, NEC"
RFV13D,1210,"Headache, pain in head"
RFV13D,1215,"Memory, disturbances of"
RFV13D,1220,Disturbances of sensation
RFV13D,1225,Vertigo - dizziness
RFV13D,1230,Weakness (neurologic)
RFV13D,1235,"Disorders of speech, speech disturbance"
RFV13D,1240,Other symptoms referable to the nervo...
RFV13D,1260,Abnormal pulsations and palpitations
RFV13D,1265,Heart pain
RFV13D,1270,Other symptoms of the heart
RFV13D,1275,Symptoms of lymph glands (or nodes)
RFV13D,1280,Oth sympt referable to the cardiovasc...
RFV13D,1305,Vision dysfunctions
RFV13D,1310,Discharge from eye
RFV13D,1315,Eye infection and inflammation
RFV13D,1320,Abnormal sensations of the eye
RFV13D,1325,Abnormal eye movements
RFV13D,1330,Abnormal appearance of eyes
RFV13D,1335,"Other symptoms referable to eye, NEC"
RFV13D,1340,Symptoms of eyelids
RFV13D,1345,Hearing dysfunctions
RFV13D,1350,Discharge from ear
RFV13D,1355,"Earache, or ear infection"
RFV13D,1360,Plugged feeling in ear
RFV13D,1365,"Other symptoms referable to the ears,..."
RFV13D,1400,Nasal congestion
RFV13D,1405,Other symptoms of nose
RFV13D,1410,Sinus problems
RFV13D,1415,Shortness of breath
RFV13D,1420,Labored or difficult breathing
RFV13D,1425,Wheezing
RFV13D,1430,"Breathing problems, NEC"
RFV13D,1435,Sneezing
RFV13D,1440,Cough
RFV13D,1445,"Head cold, upper respiratory infectio..."
RFV13D,1450,General viral infection
RFV13D,1455,Symptoms referable to throat
RFV13D,1460,Symptoms referable to tonsils
RFV13D,1470,Abnormalities of sputum or phlegm
RFV13D,1475,Congestion in chest
RFV13D,1480,Disorders of voice
RFV13D,1485,Other symptoms referable to the respi...
RFV13D,1500,Symptoms of teeth and gums
RFV13D,1501,"Symptoms of the jaw, NOS"
RFV13D,1505,Symptoms referable to lips
RFV13D,1510,Symptoms referable to mouth
RFV13D,1515,Symptoms referable to tongue
RFV13D,1520,Difficulty in swallowing (dysphagia)
RFV13D,1525,Nausea
RFV13D,1530,Vomiting
RFV13D,1535,Heartburn and indigestion (dyspepsia)
RFV13D,1540,Gastrointestinal infection
RFV13D,1545,"Stomach and abdominal pain, cramps an..."
RFV13D,1565,Change in abdominal size
RFV13D,1570,"Appetite, abnormal"
RFV13D,1575,Difficulty eating
RFV13D,1580,Gastrointestinal bleeding
RFV13D,1585,Flatulence
RFV13D,1590,Constipation
RFV13D,1595,Diarrhea
RFV13D,1600,Other symptoms or changes in bowel fu...
RFV13D,1605,Symptoms referable to anus-rectum
RFV13D,1610,"Symptoms of liver, gallbladder, and b..."
RFV13D,1615,Other symptoms referable to digestive...
RFV13D,1640,Abnormalities of urine
RFV13D,1645,Frequency and urgency of urination
RFV13D,1650,Painful urination
RFV13D,1655,Incontinence of urine (enuresis)
RFV13D,1660,Other urinary dysfunctions
RFV13D,1665,Symptoms of bladder
RFV13D,1670,Symptoms of the kidneys
RFV13D,1675,"Urinary tract infection, NOS"
RFV13D,1680,Other symptoms referable to urinary t...
RFV13D,1700,Symptoms of penis
RFV13D,1705,Penile discharge
RFV13D,1710,Symptoms of prostate
RFV13D,1715,Symptoms of the scrotum and testes
RFV13D,1720,Other symptoms of male reproductive s...
RFV13D,1730,Absence of menstruation (amenorrhea)
RFV13D,1735,Irregularity of menstrual interval
RFV13D,1740,Irregularity of menstrual flow
RFV13D,1745,"Menstrual symptoms, other and unspeci..."
RFV13D,1750,Menopausal symptoms
RFV13D,1755,Uterine and vaginal bleeding
RFV13D,1760,Vaginal discharge
RFV13D,1765,Other vaginal symptoms
RFV13D,1770,Vulvar disorders
RFV13D,1775,Pelvic symptoms
RFV13D,1790,Problems of pregnancy
RFV13D,1791,Postpartum problems
RFV13D,1795,Other symptoms referable to the femal...
RFV13D,1800,Pain or soreness of breast
RFV13D,1805,Lump or mass of breast
RFV13D,1810,Other symptoms referable to breast
RFV13D,1815,Symptoms of infertility
RFV13D,1820,Hormone deficiency or problem
RFV13D,1825,Symptoms of sexual dysfunction
RFV13D,1830,Acne or pimples
RFV13D,1835,Discoloration or pigmentation
RFV13D,1840,"Infections of skin, NOS"
RFV13D,1845,Symptoms of skin moles
RFV13D,1850,"Warts, NOS"
RFV13D,1855,Other growths of skin
RFV13D,1860,Skin rash
RFV13D,1865,Skin lesion
RFV13D,1870,"Skin irritations, NEC"
RFV13D,1875,Swelling of skin
RFV13D,1880,Other symptoms referable to skin
RFV13D,1885,Symptoms referable to nails
RFV13D,1890,Symptoms referable to hair and scalp
RFV13D,1895,Other symptoms of nails and hair
RFV13D,1900,Neck symptoms
RFV13D,1905,Back symptoms
RFV13D,1910,Low back symptoms
RFV13D,1915,Hip symptoms
RFV13D,1920,Leg symptoms
RFV13D,1925,Knee symptoms
RFV13D,1930,Ankle symptoms
RFV13D,1935,Foot and toe symptoms
RFV13D,1940,Shoulder symptoms
RFV13D,1945,Arm symptoms
RFV13D,1950,Elbow symptoms
RFV13D,1955,Wrist symptoms
RFV13D,1960,Hand and finger symptoms
RFV13D,1965,Symptoms of unspecified muscles
RFV13D,1970,Symptoms of unspecified joints
RFV13D,1975,Musculoskeletal deformities
RFV13D,1980,Other musculoskeletal symptoms; inclu...
RFV13D,2005,Intestinal infectious diseases
RFV13D,2010,Streptococcal infection
RFV13D,2015,Viral diseases
RFV13D,2016,"Coronavirus infection, unspecified"
RFV13D,2017,SARS-assoc coronavirus cause of dis class...
RFV13D,2020,Venereal diseases
RFV13D,2025,Fungus infections (mycoses)
RFV13D,2030,Parasitic diseases
RFV13D,2031,"Sepsis, septicemia"
RFV13D,2035,Other and unspecified infectious and ...
RFV13D,2100,"Cancer, gastrointestinal tract"
RFV13D,2105,"Cancer, respiratory tract"
RFV13D,2110,"Cancer, skin and subcutaneous tissues"
RFV13D,2115,"Cancer, breast"
RFV13D,2120,"Cancer, female genital tract"
RFV13D,2125,"Cancer, male genital tract"
RFV13D,2126,Cancer of urinary tract
RFV13D,2130,Other malignant and unspecified neopl...
